Event,Round Number,Dive Number,Height,Name,DD,Total,Points,Score
  Senior Women 3m Springboard - (Final),2,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),3,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,105B	,3M	,Forward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),2,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),3,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),3,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),2,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,105B	,3M	,Forward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405B	,3M	,Inward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),2,107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),3,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),4,305B	,3M	,Reverse  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),3,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5233D	,3M	,Back 1 1/2 Somersault 1 1/2 Twist Free	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,105B	,3M	,Forward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),2,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,5235D	,3M	,Back 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Senior Women 3m Springboard - (Final),2,105B	,3M	,Forward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),3,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),5,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,		,		,		,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),1 Diver A,401B	,3M	,Inward Dive Pike	,,,,
  Senior Women 3m Springboard - (Final),1,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5235D	,3M	,Back 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405B	,3M	,Inward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),2,107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),3,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),4,305B	,3M	,Reverse  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,401B	,3M	,Inward Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),2 Diver A,301B	,3M	,Reverse Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,301B	,3M	,Reverse Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),3 Diver A,107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),4 Diver A,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5 Diver A,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,		,		,		,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),1 Diver A,401B	,3M	,Inward Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,401B	,3M	,Inward Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),2 Diver A,301B	,3M	,Reverse Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,301B	,3M	,Reverse Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),3 Diver A,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),4 Diver A,107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5 Diver A,5154B	,3M	,Forward 2 1/2 Somersault 2 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),3,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,107B	,3M	,Forward  3 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),2,307C	,3M	,Reverse  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,405B	,3M	,Inward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),4,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,5154B	,3M	,Forward 2 1/2 Somersault 2 Twist Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,		,		,		,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),1 Diver A,401B	,3M	,Inward Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,401B	,3M	,Inward Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),2 Diver A,103B	,3M	,Forward  1 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,103B	,3M	,Forward  1 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),3 Diver A,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),4 Diver A,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5 Diver A,5335D	,3M	,Reverse 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,5335D	,3M	,Reverse 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,		,		,		,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),1 Diver A,201B	,3M	,Back Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,201B	,3M	,Back Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),2 Diver A,103B	,3M	,Forward  1 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,103B	,3M	,Forward  1 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),3 Diver A,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5154B	,3M	,Forward 2 1/2 Somersault 2 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405B	,3M	,Inward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),2,305B	,3M	,Reverse  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),3,105B	,3M	,Forward  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),4,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Senior Women 3m Springboard - (Final),5,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Senior Women 3m Springboard - (Final),,,,,,,,
  Senior Women 3m Springboard - (Final),,		,		,		,,,,
  Senior Women 3m Springboard - (Final),1,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),2,107C	,3M	,Forward  3 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),3,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),4,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Senior Women 3m Springboard - (Final),5,5235D	,3M	,Back 1 1/2 Somersault 2 1/2 Twist Free	,,,,
  Senior Women 3m Springboard - (Final),,		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),4 Diver A,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5 Diver A,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,		,		,		,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),1 Diver A,103B	,3M	,Forward  1 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,103B	,3M	,Forward  1 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),2 Diver A,5132D	,3M	,Forward 1 1/2 Somersault 1 Twist Free	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,5132D	,3M	,Forward 1 1/2 Somersault 1 Twist Free	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),3 Diver A,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),4 Diver A,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5 Diver A,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,		,		,		,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),1 Diver A,101B	,3M	,Forward Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,101B	,3M	,Forward Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),2 Diver A,301B	,3M	,Reverse Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,301B	,3M	,Reverse Dive Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),3 Diver A,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,205B	,3M	,Back  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),4 Diver A,405B	,3M	,Inward  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,405B	,3M	,Inward  2 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5 Diver A,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,5152B	,3M	,Forward 2 1/2 Somersault 1 Twist Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,		,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,,,,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,		,		,		,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),1 Diver A,103B	,3M	,Forward  1 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,103B	,3M	,Forward  1 1/2 Somersault Pike	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),2 Diver A,5132D	,3M	,Forward 1 1/2 Somersault 1 Twist Free	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,5132D	,3M	,Forward 1 1/2 Somersault 1 Twist Free	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),3 Diver A,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,405C	,3M	,Inward  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),4 Diver A,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,305C	,3M	,Reverse  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),5 Diver A,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),Diver B,205C	,3M	,Back  2 1/2 Somersault Tuck	,,,,
  Synchronized Women 3m Springboard - (Prelim/Quarterfinal),,		,,,,,,
